10:18:12[1.0.0.3] ===> 背景图片:D:\背景.bmp
路径名称:D:\透明
端口号：0
10:18:13[1.0.0.3] ===> 10张截图
10:18:13[1.0.0.3] ===> 拼图转换RAKowFnIn00AAAAAAABqr16Ai0E06.jpg
10:18:13[1.0.0.3] ===> 拼图转换RAKowFnIn00AAAAAAAFvdQTpGXw62.jpg
10:18:13[1.0.0.3] ===> 拼图转换RAKowFnIn00AAAAAAAJhN0hjEtY95.jpg
10:18:13[1.0.0.3] ===> 拼图转换RAKowFnIn0sAAAAAAAFcDRlWxJQ57.jpg
10:18:13[1.0.0.3] ===> 拼图转换RAKowFnIn0sAAAAAAAIkPVQgaYw56.jpg
10:18:13[1.0.0.3] ===> 拼图转换RAKowFnIn0sAAAAAAAIXvA-TcJ807.jpg
10:18:13[1.0.0.3] ===> 拼图转换RAKowFnIn0wAAAAAAADKzSQktac13.jpg
10:18:13[1.0.0.3] ===> 拼图转换RAKowFnIn0wAAAAAAAGEeVAUThY94.jpg
10:18:13[1.0.0.3] ===> 拼图转换RAKowFnIn0wAAAAAAAHRYB2dv_I01.jpg
10:18:14[1.0.0.3] ===> 拼图转换RAKowFnIn0wAAAAAAAN0HBuUDI867.jpg
10:18:14[1.0.0.3] ===> 开始转换拼图

10:18:14[1.0.0.3] ===> 拼图完成RAKowFnIn00AAAAAAABqr16Ai0E06.png
10:18:14[1.0.0.3] ===> 拼图完成RAKowFnIn00AAAAAAAFvdQTpGXw62.png
10:18:14[1.0.0.3] ===> 拼图完成RAKowFnIn00AAAAAAAJhN0hjEtY95.png
10:18:14[1.0.0.3] ===> 拼图完成RAKowFnIn0sAAAAAAAFcDRlWxJQ57.png
10:18:14[1.0.0.3] ===> 拼图完成RAKowFnIn0sAAAAAAAIkPVQgaYw56.png
10:18:14[1.0.0.3] ===> 拼图完成RAKowFnIn0sAAAAAAAIXvA-TcJ807.png
10:18:14[1.0.0.3] ===> 拼图完成RAKowFnIn0wAAAAAAADKzSQktac13.png
10:18:14[1.0.0.3] ===> 拼图完成RAKowFnIn0wAAAAAAAGEeVAUThY94.png
10:18:14[1.0.0.3] ===> 拼图完成RAKowFnIn0wAAAAAAAHRYB2dv_I01.png
10:18:14[1.0.0.3] ===> 拼图完成RAKowFnIn0wAAAAAAAN0HBuUDI867.png
10:20:29[1.0.0.3] ===> 背景图片:D:\背景.bmp
路径名称:D:\透明
端口号：0
10:20:30[1.0.0.3] ===> 10张截图
10:20:30[1.0.0.3] ===> 拼图转换RAKowFnIn00AAAAAAABqr16Ai0E06.jpg
10:20:30[1.0.0.3] ===> 拼图转换RAKowFnIn00AAAAAAAFvdQTpGXw62.jpg
10:20:31[1.0.0.3] ===> 拼图转换RAKowFnIn00AAAAAAAJhN0hjEtY95.jpg
10:20:31[1.0.0.3] ===> 拼图转换RAKowFnIn0sAAAAAAAFcDRlWxJQ57.jpg
10:20:31[1.0.0.3] ===> 拼图转换RAKowFnIn0sAAAAAAAIkPVQgaYw56.jpg
10:20:31[1.0.0.3] ===> 拼图转换RAKowFnIn0sAAAAAAAIXvA-TcJ807.jpg
10:20:31[1.0.0.3] ===> 拼图转换RAKowFnIn0wAAAAAAADKzSQktac13.jpg
10:20:31[1.0.0.3] ===> 拼图转换RAKowFnIn0wAAAAAAAGEeVAUThY94.jpg
10:20:31[1.0.0.3] ===> 拼图转换RAKowFnIn0wAAAAAAAHRYB2dv_I01.jpg
10:20:31[1.0.0.3] ===> 拼图转换RAKowFnIn0wAAAAAAAN0HBuUDI867.jpg
10:20:31[1.0.0.3] ===> 开始转换拼图

10:20:31[1.0.0.3] ===> 拼图完成RAKowFnIn00AAAAAAABqr16Ai0E06.png
10:20:31[1.0.0.3] ===> 拼图完成RAKowFnIn00AAAAAAAFvdQTpGXw62.png
